question,ground_truth,manual
What must I do before tilting the hood on the Cascadia?,"Apply the parking brakes, then release both hood hold-down latches by pulling the ends outward. Do not let the hood free-fall to the full-open position, as this could damage the hood or hood straps.",freightliner-cascadia-drivers-manual
Why does the Cascadia DEF tank have a 19 mm filler neck?,"The 19 mm filler neck inlet prevents the hose from a diesel outlet from being inserted, and the tank has a blue cap for easy identification.",freightliner-cascadia-drivers-manual
Where is the DEF tank located on the Cascadia?,"On engines compliant with EPA10 and newer regulations, the DEF tank is on the driver's side of the vehicle, behind the battery box or forward of the fuel tank.",freightliner-cascadia-drivers-manual
When does the Cascadia low fuel warning lamp come on?,The low fuel warning lamp illuminates amber when the fuel level drops below one eighth of the tank capacity.,freightliner-cascadia-drivers-manual
How often do the Cascadia TPMS tire sensors transmit data?,The tire pressure monitoring system sensors transmit data every 3 to 5 minutes.,freightliner-cascadia-drivers-manual
Can I use tire sealant or reinflation products on a Cascadia with TPMS?,"Temporary resealing or reinflation products containing internal sealers or propellants may adversely affect the operation of the tire sensors and void their warranty.",freightliner-cascadia-drivers-manual
What safety precaution applies when draining the Cascadia air reservoirs?,"When draining the air reservoir, do not look into the air jets or direct them toward anyone, because dirt or sludge particles may be in the airstream and could cause injury.",freightliner-cascadia-drivers-manual
What does cloudy or oily water drained from the air reservoirs indicate?,"Cloudy or oily water may indicate a compressor problem; if oil contaminates the air dryer it will not remove water from the air brake system, which could adversely affect braking.",freightliner-cascadia-drivers-manual
Does the Cascadia engine require a break-in period?,"No. Each engine must pass a full-load operating test on a dynamometer before shipment, which eliminates the need for a break-in.",freightliner-cascadia-drivers-manual
What should be done if water is found in the front axle hub oil?,"Remove the affected part and replace it with a new part, then check the oil level in the hub and fill it with new approved oil as needed.",freightliner-cascadia-maintenance-manual
What training is required before doing electrical work on the eCascadia?,"The eCascadia has a high-voltage system; do not attempt any type of electrical work unless you have completed HV3 Daimler Safety Training. Failure to do so could cause severe personal injury or death.",freightliner-ecascadia-maintenance-manual
Can suspension or steering parts be replaced with used parts on the eCascadia?,"No. Do not replace suspension, axle, or steering parts such as springs, wheels, hubs, and steering gears with used parts, because used parts may have been in collisions or misused and have undetected structural damage.",freightliner-ecascadia-maintenance-manual
What operations are part of the eCascadia M1 maintenance interval for Service Schedule I?,"M1 interval operations include the air compressor inspection, fifth wheel inspection and lubrication, steer axle hub cap vent plug inspection, wheel nut check, tire check, and brake inspection, among others.",freightliner-ecascadia-maintenance-manual
Where is the Vehicle Emission Control Information Label on the Western Star 47X?,The Vehicle Emission Control Information Label is located on the left-hand door.,westernstar-47x-49x-drivers-manual
Who is responsible for keeping the Western Star 47X conforming to EPA and NHTSA regulations?,It is the owner's responsibility to maintain the vehicle so that it conforms to EPA and NHTSA regulations.,westernstar-47x-49x-drivers-manual
Which components on the 47X are part of greenhouse gas compliance and must be replaced with equivalent parts?,"Components such as low-rolling-resistance tires, aerodynamic devices (hood, cab side extenders, fuel tank fairings), vehicle speed limiters, and idle shutdown/reduction timers are designed for fuel-efficiency and GHG compliance and must be replaced with components that meet or exceed their performance.",westernstar-47x-49x-drivers-manual
Can tires of different sizes or types be mixed on the Western Star 47X?,"No. Do not mix tires of different size, type, or weight, and tire wear should be even and not worn beyond government specifications. Replace any excessively worn tire.",westernstar-47x-49x-maintenance-manual
During air dryer reservoir service on the 47X what must be done before disconnecting the evaporator outlet line?,"Drain the air tank, then disconnect the line from the evaporator outlet.",westernstar-47x-49x-maintenance-manual
Can biodiesel be used in a FUSO FE truck?,Biodiesel can be used only if it has a 5% or lower blend ratio and complies with ASTM D-6751.,fuso-fe-fg-owners-manual
What diesel sulfur content does FUSO recommend?,"Fuel containing 0.0015% (15 ppm) sulfur or less is recommended; higher sulfur content degrades the DPF's performance.",fuso-fe-fg-owners-manual
What diesel fuel grade is recommended for a FUSO truck operating above -12°C?,"For normal operation at temperatures above -12°C (10°F), ASTM D-975 Grade Ultra Low Sulfur Grade 2-D diesel is recommended.",fuso-fe-fg-owners-manual
What happens if a FUSO truck is fueled with non-approved fuel?,"The catalyst inside the diesel particulate filter will not work effectively, its removal of particulate matter from exhaust gases will be degraded, and the truck will not meet emission regulations.",fuso-fe-fg-owners-manual
Where is the front jacking point on a FUSO FE?,"On the FE, the front axle jacking point is the bottom surface of the leaf spring at the rear of the tie rod; on the FG it is the jack support under the front axle.",fuso-fe-fg-owners-manual
Are socket wrenches for jacking included in the FUSO onboard tools?,"No. Socket wrenches for jacking up the vehicle or loosening and tightening the wheel nuts are not included in the onboard tools.",fuso-fe-fg-owners-manual
Which functions on the Actros require the coded vehicle key?,"A key coded for the vehicle is required for switching on the ignition, starting the engine, and shifting gears.",mercedes-actros-arocs-operators-manual
What should I do if I lose the key for my Actros?,"Obtaining a replacement key is a time-consuming process and can only be done through a Mercedes-Benz Service Centre, so Mercedes-Benz recommends always keeping an easily accessible replacement key with you.",mercedes-actros-arocs-operators-manual
What does the Actros manual say about starting the engine economically?,"Do not depress the accelerator pedal when starting the engine, and do not warm up the engine while the vehicle is stationary.",mercedes-actros-arocs-operators-manual
Which Actros vehicles show an AdBlue level indicator in the instrument cluster?,Vehicles with BlueTEC exhaust gas aftertreatment show an AdBlue level display in the instrument cluster.,mercedes-actros-arocs-operators-manual
