user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
How deep can the HMMWV ford water without a deep water fording kit?,"[""(HMMWV M998 Utility Truck — Operator's Manual, p.213) TM 9-2320-280-10\n2-37.  DEEP WATER FORDING OPERATION\na.  General.  The deep water fording kit allows M998 series vehicles to ford water up to 60 in. (152 cm)\ndeep.\nCAUTION\nNever attempt deep water fording unless water depth is known to be 60 in. (152"", ""(HMMWV M998 Utility Truck — Operator's Manual, p.31) 40% (22°). The vehicles ford hard bottom water crossings up to 30 inches (76 centimeters) without a deep\nwater fording kit and 60 inches (152 centimeters) with the kit. Refer to table 1-15 for cruising range.\nd.\nSpecial Limitations. None.\ne.\nSpecial Instructions in the Manual."", ""(HMMWV M998 Utility Truck — Operator's Manual, p.33) (220). The vehicles ford hard bottom water crossings up to 30 inches (76 centimeters) without a deep-water\nfording kit and 60 inches (152 centimeters) with the kit.  Refer to table 1-15 for cruising range.\nd.\nSpecial Limitations. None.\ne.\nSpecial Instructions in the Manual.\n(1)"", ""(HMMWV M998 Utility Truck — Operator's Manual, p.25) traverse a side slope of up to 40% (22°). The vehicle fords hard bottom water\ncrossing up to 30 inches (76 centimeters) without a deep water fording kit and \n60 inches (152 centimeters) with the kit. Refer to table 1-15 for cruising range.\nd.\nSpecial Limitations. None.\ne.""]",The HMMWV M998 can ford hard bottom water crossings up to 30 inches (76 centimeters) without a deep water fording kit [2][3][4].,"The HMMWV can ford hard-bottom water crossings up to 30 inches (76 centimeters) deep without a deep water fording kit, and up to 60 inches (152 centimeters) with the kit installed.",1.0,0.8847015358681466,0.6388888888675925,1.0
What is the fuel tank capacity of the HMMWV?,"[""(HMMWV M998 Utility Truck — Operator's Manual, p.194) TM 9-2320-280-10\nMWO Requirements\nHMMWV\nM1101\nM1102\n<3400 lb <4200 lb\nModel Number\nDescription\n(1544 kg) (1905 kg)\nRemarks\nM998/M998A1\nCargo/Troop\nA\nA\nM1038/M1038A1\nCargo/Troop\nA\nA\nM1097/M1097A1/M1097A2\nHeavy Variant\nB\nB\nB\nB\nM1123\nHeavy Variant\nC\nC\nC\nC\nM966/M966A1\nTow Carrier\nA\nA\nM1121\nTow Carrier\nA"", '(KA7-DA Diesel Air Compressor — Maintenance Manual, p.15) 1-8.  Location and Description of Major Components.  (figure 1-2)\nENGINE FUEL TANK (1).  The engine fuel tank has a capacity of approximately 4 quarts (3.7 liters).  This is sufficient\nfuel for about 3 1/2 hours of operation at full load.', ""(6,000 lb Rough-Terrain Forklift — Operator's Manual, p.26) Refill Capacities:\nFuel Tank . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 44 gal. (166.5 L)"", ""(M939 5-Ton 6x6 Truck — Operator's Manual, p.460) 3-4\n3-17\nFuel system:\nCapacity (table 1-6) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .\n1-14\n1-20\nFilter service . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .\n3-8e\n3-27""]","The excerpts provided do not contain the fuel tank capacity of the HMMWV. While excerpt [1] lists HMMWV models and their weight classifications, it does not include fuel capacity specifications.",The HMMWV fuel tank holds 25 gallons (94.6 liters).,1.0,0.0,0.0,0.0
What is the cooling system capacity of the HMMWV?,"[""(M939 5-Ton 6x6 Truck — Operator's Manual, p.456) 1-17e\n1-33\nCooling system:\nCapacities (table 1-6) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .\n1-14\n1-20\nCooling system data (table 1-8) . . . . . . . . . . . . . . . . . . . . . . . . . .\n1-14\n1-22"", ""(M939 5-Ton 6x6 Truck — Operator's Manual, p.38) TM 9-2320-272-10\n1-20\nChange 2\nCapacity\nIn Normal\nVehicle\nDescription\nOperating Conditions\nStandard\nMetric\n+32°F to +90°F\n(0°C to +32°C)\nAll\nCooling System\n47 qt\n44.5 L\n1/2 Ethylene\nGlycol, 1/2 Water\nM939 & M939A1 series\nEngine\n23 qt\n21.8 L\nOE/HDO 15/40\n(crankcase only)\nM939A2 series\nEngine\n18 qt"", ""(6,000 lb Rough-Terrain Forklift — Operator's Manual, p.26) Cooling System . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .8 gal. (30 L)"", ""(M939 5-Ton 6x6 Truck — Operator's Manual, p.468) 2-10\n2-73\nCargo body sides . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .\n2-10\n2-85\nCooling system . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .\n2-10\n2-54""]","The excerpts provided do not contain information about the HMMWV cooling system capacity. The excerpts only cover the M939 5-Ton 6x6 Truck and a 6,000 lb Rough-Terrain Forklift.",The HMMWV cooling system capacity is 26 quarts (24.6 liters).,0.3333333333333333,0.0,0.0,0.0
How much oil does the HMMWV engine take when the filter is also replaced?,"[""(HMMWV M998 Utility Truck — Operator's Manual, p.391) intervals shall be followed.\nd. Army Oil Analysis Program (AOAP). HMMWV engines and\ntransmissions are enrolled in the Army Oil Analysis Program (AOAP). The\nsampling interval for the engine is every six months or 3,000 miles (4,827 km)"", '(KA7-DA Diesel Air Compressor — Maintenance Manual, p.45) Step 2. Check oil level.\nAdd oil if low.\n8.  EXCESSIVE OIL CONSUMPTION.\nStep 1.\nCheck engine for leaks.\nNotify unit maintenance of any leaks.\nStep 2.  Check oil grade.\nReplace oil if wrong grade.\n3-4', ""(M939 5-Ton 6x6 Truck — Operator's Manual, p.461) 2-10\n2-75\nOil level . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .\n2-10\n2-74\nRear winch . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .\n2-10\n2-40"", '(KA7-DA Diesel Air Compressor — Maintenance Manual, p.51) nents.  Repair or replace damaged or missing\ncomponents.\n100\n2.\nChange engine oil (para. 4-23).\n3. \nCheck fuel system for leaks.\n250\n·\n4. \nReplace fuel filter (para. 4-24).\n100\n·\n5.\nService air cleaner assembly (para 4-26)\n300\n6.\nService filter screen (para. 4-31).\n250\n7.']",The excerpts provided do not contain the oil capacity for the HMMWV engine or the amount needed when replacing the filter.,The engine takes 8 quarts (7.6 liters) for the crankcase with a new filter; the crankcase alone takes 7 quarts (6.6 liters).,1.0,0.0,0.0,0.0
What horsepower does the HMMWV 6.2 liter diesel engine produce?,"[""(HMMWV M998 Utility Truck — Operator's Manual, p.44) Type . . . . . . . . . . . . . . . . 6.2 liter diesel, naturally-aspirated, liquid-cooled\nCylinders . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 8(V)\nBrake horsepower . . . . . . . . . . . . . . . . . . . . . 150 horsepower @ 3600 rpm"", ""(6,000 lb Rough-Terrain Forklift — Operator's Manual, p.27) Horsepower (@ 2,500 RPM) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 152 hp"", ""(6,000 lb Rough-Terrain Forklift — Operator's Manual, p.27) Horsepower (@ 2,500 RPM) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 165 hp"", ""(M939 5-Ton 6x6 Truck — Operator's Manual, p.40) Fan . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 26 in. (660 mm), 6-blade\nENGINE CUMMINS 6CTA8.3 (M939A2 SERIES)\nType . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Diesel, turbocharged, aftercooled""]",The HMMWV 6.2 liter diesel engine produces 150 horsepower at 3600 rpm [1].,The 6.2 liter diesel engine produces 150 brake horsepower at 3600 rpm.,1.0,0.9794943852810576,0.9999999999,1.0
What payload can the M998 cargo/troop carrier transport?,"[""(HMMWV M998 Utility Truck — Operator's Manual, p.23) vehicles.\nb.\nPurpose of the Vehicle. M998, M998A1, M1038, and M1038A1 cargo/\ntroop carriers are used to transport equipment, materials, and/or personnel. The\ncargo carrier is capable of transporting a payload (including crew) of 2,500"", ""(HMMWV M998 Utility Truck — Operator's Manual, p.23) cargo carrier is capable of transporting a payload (including crew) of 2,500\npounds (1,134 kilograms). The troop carrier is capable of transporting a two-man\ncrew and eight passengers. Both use a troop seat kit for troop transport\noperations."", ""(HMMWV M998 Utility Truck — Operator's Manual, p.20) CHAPTER 1\nINTRODUCTION\nSection I.  GENERAL INFORMATION\n1-1. SCOPE\nTM 9-2320-280-10\nChange 3\n1-1\na. This manual contains instructions for operating and servicing M998 series\nvehicles.\nThese vehicles are:\n(1) M998 and M998A1 Cargo/Troop Carriers\n(2) M1038 and M1038A1 Cargo/Troop Carriers, W/W"", ""(HMMWV M998 Utility Truck — Operator's Manual, p.232) 2-45. CARGO TIEDOWN OPERATION\n2-44. TROOP SEAT KIT OPERATION\na. General. The troop seat kit is used to convert M998, M998A1, M1097,\nM1097A1, M1097A2, and M1123 cargo vehicles into troop carriers.\nb. Lowering Troop Seat.\n(1) Remove two lockpins (7) from troop seat (6).\n(2) Lower troop seat (6).""]","The M998 cargo carrier is capable of transporting a payload (including crew) of 2,500 pounds (1,134 kilograms) [1][2].","The M998 cargo carrier can transport a payload, including crew, of 2,500 pounds (1,134 kilograms).",1.0,0.9322549558025646,0.99999999995,1.0
What is the steepest road grade a fully loaded M998 HMMWV can climb?,"[""(HMMWV M998 Utility Truck — Operator's Manual, p.23) M1038A1 are equipped with winches. This feature permits recovery operations of\nsimilar vehicles.\nc.\nPerformance. Fully-loaded M998, M998A1, M1038, and M1038A1 cargo/\ntroop carriers will climb road grades as steep as 60% (31°) and traverse a side slope"", ""(HMMWV M998 Utility Truck — Operator's Manual, p.27) M1036 is equipped with a winch. This feature permits recovery operations of\nsimilar vehicles.\nc .\nP e r f o r m a n c e . Fully-loaded M966, M966A1, M1036, and M1121 T O W\ncarriers will climb road grades as steep as 60% (31°) and traverse a side slope of"", ""(HMMWV M998 Utility Truck — Operator's Manual, p.25) differential with a modified gear ratio. \nc.\nPerformance. Fully-loaded M1097, M1097A1, M1097A2, and M11 2 3\nheavy variant cargo/troop carriers will climb road grades as steep as 60% (31°) and\ntraverse a side slope of up to 40% (22°). The vehicle fords hard bottom water"", ""(HMMWV M998 Utility Truck — Operator's Manual, p.31) operations of similar vehicles. c. Performance. Fully-loaded M1025, M1025A1, M1025A2, M1026, and\nM1026A1 armament carriers will climb road grades as steep as 60% (31°) and traverse a side slope of up to""]",A fully-loaded M998 can climb road grades as steep as 60% (31°) [1].,A fully loaded M998 can climb road grades as steep as 60% (31 degrees) and traverse a side slope of up to 40% (22 degrees).,1.0,0.9214180304349021,0.7499999999625,0.0
What type of brake fluid does the HMMWV brake system use?,"[""(HMMWV M998 Utility Truck — Operator's Manual, p.43) Brake Fluid\nBrake Fluid\nBrake Fluid\nSilicone (BFS)\nSilicone (BFS)\nSilicone (BFS)\nAll\nWindshield\n1/3 cleaning\n1/2 cleaning\n2/3 cleaning\nwasher\ncompound,\ncompound,\ncompound,\nreservoir\n2/3 water\n1/2 water\n1/3 water\nTM 9-2320-280-10\n1-24\nChange 3\nTable 1-3.  General Service Data"", ""(HMMWV M998 Utility Truck — Operator's Manual, p.43) Dexron® II or\nDexron® II or\nDexron® II or\nDexron® III\nDexron® III\nDexron® III\nAll\nSteering system\nDexron® II or\nDexron® II or\nDexron® II or\nDexron® III\nDexron® III\nDexron® III\nAll\nBrake system\nBrake Fluid\nBrake Fluid\nBrake Fluid\nSilicone (BFS)\nSilicone (BFS)\nSilicone (BFS)\nAll\nWindshield"", ""(HMMWV M998 Utility Truck — Operator's Manual, p.44) Type . . . . . . . . . . . . . . . . 6.2 liter diesel, naturally-aspirated, liquid-cooled\nCylinders . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 8(V)\nBrake horsepower . . . . . . . . . . . . . . . . . . . . . 150 horsepower @ 3600 rpm"", ""(6,000 lb Rough-Terrain Forklift — Operator's Manual, p.32) priority valve to the frame tilt system.\n5.\nService Brakes. Dry disc, caliper-type brakes are mounted on all four wheels. The service brakes are hydraulically\nactuated by pressing the brake or transmission disconnect pedals. An accumulator in the braking system enables a""]",The HMMWV M998 brake system uses Silicone (BFS) brake fluid [1][2].,The HMMWV brake system uses Brake Fluid Silicone (BFS) in all expected temperature ranges.,0.0,0.9315388294670827,0.99999999995,1.0
What is the idle speed of the HMMWV 6.2 liter engine?,"[""(6,000 lb Rough-Terrain Forklift — Operator's Manual, p.27) Engine Idle RPM. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 850 to 950 RPM\nEngine (ATLAS):"", ""(M939 5-Ton 6x6 Truck — Operator's Manual, p.40) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 250 horsepower @ 2100 rpm\nIdle Speed (engine rpm) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 600-650 rpm\nOperating Speed (engine rpm)"", ""(M939 5-Ton 6x6 Truck — Operator's Manual, p.40) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 240 horsepower @ 2100 rpm\nIdle Speed (engine rpm) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 565-635 rpm\nOperating Speed (engine rpm)"", ""(6,000 lb Rough-Terrain Forklift — Operator's Manual, p.27) Engine Idle RPM. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 900 to 1,000 RPM\nTransmission:""]",The excerpts provided do not contain information about an HMMWV 6.2 liter engine's idle speed.,The 6.2 liter engine idle speed is 650 plus or minus 25 rpm.,1.0,0.0,0.0,0.0
What engine powers the M939 and M939A1 series 5-ton trucks and what is its horsepower?,"[""(M939 5-Ton 6x6 Truck — Operator's Manual, p.27) d.\nThe M939 and M939A1 series vehicles employ the Cummings (NHC 250) 250\nhorsepowered engine, while the M939A2 series vehicles use a smaller, turbocharged\nCummings (6CTA8.3) 240 horsepowered engine. The M939A2 series vehicles"", ""(M939 5-Ton 6x6 Truck — Operator's Manual, p.27) Cummings (6CTA8.3) 240 horsepowered engine. The M939A2 series vehicles\nadditionally have the Central Tires Inflation System (CTIS) which allows for\ngreater tactical mobility.\ne.\nAll M939/A1/A2 series vehicles utilize the same automatic transmission, are"", ""(M939 5-Ton 6x6 Truck — Operator's Manual, p.27) (4) Improved Cooling System\n(5) Improved Electrical System\n(6) Three-Crew Member Cab\n(7) Tilt Hood\n(8) Hydraulically Powered Front Winch\nc.\nThe M939 series vehicles use 11:00 x R20 tires and have rear tandem duals,\nwhile the M939A1 and M939A2 series vehicles use 14:00 x R20 super sized tires"", ""(M939 5-Ton 6x6 Truck — Operator's Manual, p.11) FOR\nTRUCK, 5-TON, 6X6, M939,\nM939A1 AND M939A2 SERIES (DIESEL)\nTRUCK, CARGO: 5-TON, 6X6, DROPSIDE\nM923 (2320-01-050-2084), M923A1 (2320-01-206-4087), M923A2 (2320-01-230-0307),\nM925 (2320-01-047-8769), M925A1 (2320-01-206-4088), M925A2 (2320-01-230-0308);\nTRUCK, CARGO: 5-TON, 6X6,""]",The M939 and M939A1 series vehicles are powered by a Cummins (NHC 250) engine with 250 horsepower [1].,"The M939 and M939A1 series use the Cummins NHC 250, a naturally-aspirated liquid-cooled 6-cylinder in-line diesel producing 250 horsepower at 2100 rpm.",1.0,0.9080210151799962,0.9999999999,0.0
